Artist,Ethnicity,Gender,Museum,SmallMuseum,
Njideka Akunyili Crosby,Nigerian,Female,Hammer Museum,Yes,
Eleanor Antin,American,Female,Hammer Museum,Yes,
Tauba Auerbach,American,Unknown,Hammer Museum,Yes,
Mario Ayala,American,Male,Hammer Museum,Yes,
John Baldessari,American,Male,Hammer Museum,Yes,
Willie Birch,African-American,Male,Hammer Museum,Yes,
Amoako Boafo,Ghanaian,Male,Hammer Museum,Yes,
Diedrick Brackens,African-American,Male,Hammer Museum,Yes,
Mark Bradford,African-American,Male,Hammer Museum,Yes,
Chris Burden,American,Male,Hammer Museum,Yes,
Huguette Caland,Lebanese,Female,Hammer Museum,Yes,
Banu CennetoÄŸlu,Turkish,Female,Hammer Museum,Yes,
Xinyi Cheng,Chinese,Female,Hammer Museum,Yes,
Robert Colescott,African-American,Male,Hammer Museum,Yes,
Bruce Conner,American,Male,Hammer Museum,Yes,
Kenturah Davis,African-American,Female,Hammer Museum,Yes,
Noah Davis,African-American,Male,Hammer Museum,Yes,
Aria Dean,African-American,Female,Hammer Museum,Yes,
Jimmie Durham,American,Male,Hammer Museum,Yes,
rafa esparza,Mexican-American,Male,Hammer Museum,Yes,
Christina Fernandez,Mexican-American,Female,Hammer Museum,Yes,
Derek Fordjour,Ghanaian,Male,Hammer Museum,Yes,
Simone Forti,Italian-American,Female,Hammer Museum,Yes,
Llyn Foulkes,American,Male,Hammer Museum,Yes,
Owen Fu,Chinese,Male,Hammer Museum,Yes,
Charles Gaines,African-American,Male,Hammer Museum,Yes,
Roberto Gil de Montes,Mexican-American,Male,Hammer Museum,Yes,
Robert Gober,American,Male,Hammer Museum,Yes,
Sasha Gordon,Korean,Female,Hammer Museum,Yes,
Wade Guyton,American,Male,Hammer Museum,Yes,
Chase Hall,African-American,Male,Hammer Museum,Yes,
Richard Hawkins,American,Male,Hammer Museum,Yes,
Eva Hesse,German-American,Female,Hammer Museum,Yes,
Reggie Burrows Hodges,African-American,Male,Hammer Museum,Yes,
Tishan Hsu,Asian-American,Male,Hammer Museum,Yes,
Douglas Huebler,American,Male,Hammer Museum,Yes,
Luchita Hurtado,Venezuelan,Female,Hammer Museum,Yes,
Patrick Jackson,American,Male,Hammer Museum,Yes,
Rachel Jones,"British-Jamaican,Bajan",,Hammer Museum,Yes,
Stephen Kaltenbach,American,Male,Hammer Museum,Yes,
Kurt Kauper,American,Male,Hammer Museum,Yes,
Mike Kelley,American,Male,Hammer Museum,Yes,
Mary Kelly,American,Female,Hammer Museum,Yes,
Florian Krewer,German,Male,Hammer Museum,Yes,
Brandon Landers,African-American,Male,Hammer Museum,Yes,
L. Frank,Ajachmem,Non-binary,Hammer Museum,Yes,
Rodney McMillian,African-American,Male,Hammer Museum,Yes,**
Lee Mullican,American,Male,Hammer Museum,Yes,
Robert Overby,American,Male,Hammer Museum,Yes,
Laura Owens,American,Female,Hammer Museum,Yes,
Adrian Piper,American,Female,Hammer Museum,Yes,
Noah Purifoy,African-American,Male,Hammer Museum,Yes,**
Christina Quarles,African-American,Female,Hammer Museum,Yes,
Roland Reiss,American,Male,Hammer Museum,Yes,
Deborah Roberts,African-American,Female,Hammer Museum,Yes,
Julia Rommel,American,Female,Hammer Museum,Yes,
Allen Ruppersberg,American,Male,Hammer Museum,Yes,
Ben Sakoguchi,Japanese,Male,Hammer Museum,Yes,
Ilana Savdie,Colombian,Female,Hammer Museum,Yes,
Tschabalala Self,African-American,Female,Hammer Museum,Yes,
Paul Mpagi Sepuya,African-American,Male,Hammer Museum,Yes,
Barbara T. Smith,American,Female,Hammer Museum,Yes,
Joey Terrill,Mexican,Male,Hammer Museum,Yes,
Kerry Tribe,American,Female,Hammer Museum,Yes,
Patssi Valdez,Mexican,Female,Hammer Museum,Yes,
Gillian Wearing,British,Female,Hammer Museum,Yes,
Ming Wong,Singaporean,Male,Hammer Museum,Yes,
Jonas Wood,American,Male,Hammer Museum,Yes,